SampleID,Tube.label,station,order,order_layers,NO3,NO2,SiO4,PO4,PB_mean,PB_sd,DCM,depth,temperature,fluorescence,turbidity,latitude,longitude,salinity,oxygen,Chla,Bchla,id_sampleS,id_sample,DCM0,DCM_simple,order_byDCM,ab_aaps,ab_bact,ab_chla,FC_low_dna,FC_high_dna,FC_all_proc,FC_all,FC_.HNA,Syn,Proc,Peuk,Nanos,Bchla_quota,perc_aaps,station00,sample2,fraction,samplePS,sample,MLD,longh
11_80,PSD11-80m,11,28,8,NA,NA,NA,NA,1.1567399,0.17906276,above_DCM,80,24.9281,0.1372,0.0812,-19.12384,-32.58316,37.2152,4.7389,88.55,0.5445,11S_80,11_80,above_DCM,above_DCM,,12649.197,687591.3,157279.64,138861.33,191306.57,248607.5,338949.9,57.94221,999.18007,188871.502,307.69452,23.159803,0.03923662,1.839639,11,202,0.2,PS11_80_0.2,202,25,SATL
12_5,PSD12-5m,12,29,9,0.0373,0.033,0.799,0.01,1.6551474,0.4344923,surf,5,28.60615,0.0346,0.08055,-16.11522,-30.7927,37.37115,4.3199,37.75,0,12S_5,12_5,surf,surf,7,5071.612,567125.6,107995.5,124559.81,167767.86,222223.7,316302.6,57.39035,542.6011,181969.88,519.44129,238.215116,0,0.8942662,12,226,0.2,PS12_5_0.2,226,30,SATL
12_120,PSD12-120m,12,30,7,0.2263,0.056,0.795,0.026,1.897364,0.51842922,DCM,120,24.0092,0.4054,0.0805,-16.11522,-30.7927,37.0538,4.6607,226.07,0.8283,12S_120,12_120,DCM,DCM,7,6443.9305,452029.8,89737.7,107602.83,105819.88,219340.6,244586.4,49.5823,499.59003,80844.255,549.21818,89.330668,0.11716381,1.4255544,12,229,0.2,PS12_120_0.2,229,30,SATL
12_135,PSD12-135m,12,31,6,0.0183,0.026,0.878,0.053,1.5259651,0.14600129,below_DCM,135,23.57595,0.3935,0.0749,-16.11522,-30.7927,36.98265,4.58345,183.97,0.5676,12S_135,12_135,below_DCM,below_DCM,7,4295.9537,231504.2,35322.29,106009.56,91992.55,196883,227553.5,46.46039,274.60909,46630.609,655.09157,39.702519,0.12043133,1.8556701,12,232,0.2,PS12_135_0.2,232,30,SATL
12_170,PSD12-170m,12,32,7,0.7193,0.261,1.113,0.081,0.9123495,0.21177614,below_DCM,170,21.9763,0.1881,0.0715,-16.11523,-30.7927,36.6824,4.3018,96.22,0,12S_170,12_170,below_DCM,below_DCM,,3102.6332,278282.3,21718.43,106123.36,59956.38,190813.4,220326.9,36.10096,92.63921,11364.846,433.41917,36.393976,0,1.1149228,12,235,0.2,PS12_170_0.2,235,30,SATL
13_5,PSD13-5m,13,33,10,0.0233,0.022,0.829,0.007,1.3534718,0.05476475,surf,5,28.5929,0.0388,0.0724,-14.39509,-30.66303,37.17085,4.3223,20.87,0,13S_5,13_5,surf,surf,8,10262.556,631027.9,51551.44,96127.47,173135.67,207960.1,293105.3,64.2998,354.01413,139445.174,320.9287,39.702519,0,1.6263238,13,241,0.2,PS13_5_0.2,241,50,SATL
13_40,PSD13-40m,13,34,9,0.0143,0.012,0.844,0.002,2.8947085,0.99081312,above_DCM,40,28.0919,0.0502,0.0817,-14.3951,-30.66304,37.4385,4.4553,41.53,0.4719,13S_40,13_40,above_DCM,above_DCM,8,10739.8842,688413.3,140334.49,162058.63,196010.52,283773.3,399608.1,54.74097,354.01413,175729.968,274.60909,46.319606,0.04005042,1.5600924,13,244,0.2,PS13_40_0.2,244,50,SATL
13_80,PSD13-80m,13,35,10,0.0123,0.022,0.849,0.024,1.2517658,0.08168012,above_DCM,80,25.0758,0.1204,0.0803,-14.3951,-30.66303,37.1622,4.7881,69.73,0,13S_80,13_80,above_DCM,above_DCM,,14558.5097,644393.1,153222.35,271937.57,223911.76,378990.3,595732.4,45.15722,1164.60723,227498.744,181.96988,165.427164,0,2.2592593,13,247,0.2,PS13_80_0.2,247,50,SATL
13_155,PSD13-155m,13,36,8,0.5713,0.071,1.038,0.065,1.0405303,0.27913694,DCM,155,22.0196,0.49055,0.07165,-14.3951,-30.66304,36.7043,4.49855,197.96,0,13S_155,13_155,DCM,DCM,8,8114.5792,487590.7,80191.14,118205.69,79777.46,220042.4,247336.7,40.29508,152.19299,38144.195,1240.70373,19.85126,0,1.6642193,13,253,0.2,PS13_155_0.2,253,50,SATL
13_210,PSD13-210m,13,37,8,7.0283,0.039,2.529,0.217,0.2034119,0.2236218,deep,210,17.6587,0.1266,0.0645,-14.3951,-30.66304,35.8946,3.9767,50.12,0,13S_210,13_210,deep,below_DCM,8,954.6564,238902.8,12887.86,60221.93,43075.27,112079.2,123270,41.70033,215.05531,4631.961,168.73571,3.308543,0,0.3996004,13,256,0.2,PS13_210_0.2,256,50,SATL
14_5,PSD14-5m,14,38,11,0.0163,0.026,0.839,0.006,4.3033831,0.15467347,surf,5,28.5538,0.0362,0.0743,-12.02134,-30.51506,36.84445,4.2876,46.84,0.6864,14S_5,14_5,surf,surf,9,13126.5252,718617.6,188783.3,141308.14,164258.86,239180.6,340656.9,53.75543,198.5126,174128.633,66.17087,43.011063,0.04766331,1.8266357,14,259,0.2,PS14_5_0.2,259,30,SATL
14_60,PSD14-60m,14,39,11,0.0213,0.025,0.89,0.028,2.9671544,0.23010585,above_DCM,60,24.8986,0.1043,0.0817,-12.02134,-30.51508,36.9669,4.8109,89.87,0.8778,14S_60,14_60,above_DCM,above_DCM,9,17899.8071,878761.2,231981.5,281857.59,215926.43,462352.7,623064.6,43.37753,426.80208,265308.777,436.72771,86.022125,0.04469963,2.0369364,14,262,0.2,PS14_60_0.2,262,30,SATL
14_140,PSD14-140m,14,40,9,0.3483,0.11,1.127,0.073,1.7762557,0.15593271,DCM,140,21.5472,0.466,0.0716,-12.02134,-30.51506,36.6151,4.3787,219.15,0,14S_140,14_140,DCM,DCM,9,7637.251,400955.7,56086.06,170954.4,87952.47,291815.5,357576,33.9707,56.24524,43712.474,1283.71479,56.245236,0,1.9047619,14,268,0.2,PS14_140_0.2,268,30,SATL
14_170,PSD14-170m,14,41,9,5.9693,0.062,2.244,0.231,0.5934309,0.01211083,below_DCM,170,18.2307,0.254,0.0726,-12.02134,-30.51508,36.009,4.0099,112.73,0,14S_170,14_170,below_DCM,below_DCM,9,1431.9846,255609.2,22195.76,78279.02,53469.48,139582.1,171390.7,40.58451,23.1598,15215.991,433.41917,33.085433,0,0.5602241,14,271,0.2,PS14_170_0.2,271,30,SATL
16_5,PSD16-5m,16,42,12,0.0293,0.042,0.37,0.002,4.8898204,0.30061431,DCM1,5,29.30675,0.2468,0.1064,-6.23941,-29.65524,36.04605,4.40655,466.26,1.5774,16S_5,16_5,surf,surf,10,33651.6373,1105014.8,259189.21,275218.95,265033.38,429216.4,618417.5,49.05733,10180.38766,493568.486,605.46342,208.438226,0.04272601,3.0453564,16,277,0.2,PS16_5_0.2,277,60,SATL
16_25,PSD16-25m,16,43,13,0.0293,0.042,0.498,0.004,6.3326017,2.01605596,between_DCM,25,29.2606,0.41025,0.10505,-6.23942,-29.65526,36.07085,4.36365,408.43,0.6534,16S_25,16_25,DCM1,above_DCM,10,28639.6913,1166590.1,292840.84,276319.07,237056.27,417153,590990.5,46.17601,4459.91634,256425.338,737.80515,201.82114,0.02079541,2.4549918,16,280,0.2,PS16_25_0.2,280,60,SATL
16_50,PSD16-50m,16,44,14,0.0313,0.02,0.959,0.027,4.4704899,0.24753401,between_DCM,50,28.9107,0.1552,0.0843,-6.23942,-29.65526,36.3009,4.3437,153.34,0.9042,16S_50,16_50,between_DCM,above_DCM,,21002.4403,779238.3,234368.14,250068,184497.22,335990.9,483463.5,42.45559,2150.55313,276124.405,258.06638,211.74677,0.03924203,2.6952527,16,283,0.2,PS16_50_0.2,283,60,SATL
16_80,PSD16-80m,16,45,10,0.0293,0.02,0.937,0.026,5.6005501,2.06049112,DCM2,80,26.0057,0.5052,0.0889,-6.23942,-29.65524,36.5917,4.5021,298.17,0.9735,16S_80,16_80,DCM2,DCM,10,20763.7762,596182.9,137470.52,215585.02,150071.15,408428,447861.5,41.0416,1396.20526,101936.218,2570.73813,254.757832,0.04273525,3.4827862,16,286,0.2,PS16_80_0.2,286,60,SATL
17_5,PSD17-5m,17,46,12,0.0243,0.039,0.895,0.003,5.3749473,0.02756707,surf,5,29.3077,0.0827,0.0845,-3.0956,-29.0125,35.332,4.308,122.73,2.4255,17S_5,17_5,surf,surf,11,21718.4326,948451.1,157756.97,327967.67,212246.73,412638.7,625416.6,39.28935,9637.78656,242698.192,535.98401,66.170866,0.10179571,2.2898842,17,295,0.2,PS17_5_0.2,295,45,WTRA
17_55,PSD17-55m,17,47,15,1.3583,0.083,1.63,0.156,2.25549,0.15291457,above_DCM,55,25.2784,0.36555,0.1011,-3.0956,-29.0125,36.1089,4.38695,342.92,2.1047,17S_55,17_55,above_DCM,above_DCM,11,25298.394,1010742.4,229594.86,428324.9,273436,775317,843296.7,38.96427,10187.00475,188275.964,2709.69694,201.82114,0.07583105,2.5029516,17,298,0.2,PS17_55_0.2,298,45,WTRA
17_65,PSD17-65m,17,48,11,10.2053,0.658,3.663,0.406,2.5230905,0.68055576,DCM,65,18.21095,0.68205,0.09455,-3.0956,-29.0125,35.86145,2.69185,361.68,0.9497,17S_65,17_65,DCM,DCM,11,8353.2433,537392,88067.05,189428.78,131881.28,353061.7,394392,41.04486,373.86539,74571.257,7258.94395,234.906573,0.10362695,1.5544041,17,301,0.2,PS17_65_0.2,301,45,WTRA
